"run","a","delta_pop","gamma_pop","km0scale_pop","offset_pop","omega_delta","omega_gamma","omega_km0scale","omega_offset","omega_tBegin","tBegin_pop"
"1706456144_43029"," 0.031669514","-0.903064874","-6.866169078"," 6.216925447"," 2.079147542"," 1.439517261"," 2.986715930"," 0.067175112"," 0.002779715"," 0.342958734","-0.167582418"
"1706407322_50787"," 0.03169672","-0.95293655","-6.81813435"," 6.21689438"," 2.07912009"," 1.53348835"," 3.05363011"," 0.06713659"," 0.00668118"," 0.34291333","-0.16757760"
"1674782044_40446"," 0.031688656","-1.132196429","-6.644065693"," 6.216761758"," 2.079138404"," 1.800384532"," 3.270740500"," 0.067823265"," 0.001447388"," 0.343066953","-0.167631798"
"1706482991_08017"," 0.031606900","-1.002032559","-6.785060626"," 6.216733274"," 2.079188550"," 1.605613006"," 3.131450525"," 0.062847682"," 0.001673733"," 0.342959558","-0.167593012"
"1674548312_3243"," 0.031607907","-1.364377543","-6.432300855"," 6.216703130"," 2.079133220"," 2.095771802"," 3.506423101"," 0.062881587"," 0.001583043"," 0.342944814","-0.167603194"
"1706542337_00222"," 0.031612942","-1.468380607","-6.286557913"," 6.216271573"," 2.079175710"," 2.193757198"," 3.568315613"," 0.062988060"," 0.001568589"," 0.342943585","-0.167649754"
"1674950943_09985"," 0.031610828","-1.652010227","-6.126956363"," 6.216778301"," 2.079199572"," 2.414953342"," 3.677164150"," 0.063298151"," 0.001667418"," 0.342953739","-0.167599380"
"1674406328_34794"," 0.031607317","-1.324131703","-6.488152833"," 6.216578097"," 2.079089677"," 2.040725829"," 3.495375674"," 0.062719118"," 0.001348437"," 0.342953728","-0.167619259"
"1674515001_27996"," 0.031615091","-2.032814080","-5.689687857"," 6.216668249"," 2.079129890"," 2.731572751"," 3.816333198"," 0.065079744"," 0.001403099"," 0.342956473","-0.167621988"
"1674859146_24891"," 0.031613814","-1.778579388","-6.013180651"," 6.217085016"," 2.079152504"," 2.542248040"," 3.751908266"," 0.063661871"," 0.001321076"," 0.342945561","-0.167551132"
"1706504983_75048"," 0.031605685","-2.101934075","-5.665394606"," 6.216981550"," 2.079155764"," 2.804445534"," 3.867300280"," 0.063080541"," 0.001546779"," 0.342899170","-0.167535402"
"1706504435_60608"," 0.031608099","-2.255085367","-5.414555622"," 6.216361128"," 2.079115627"," 2.890148548"," 3.832271074"," 0.063075082"," 0.002289029"," 0.342937841","-0.167645203"
"1674838083_93864"," 0.031620758","-2.223018831","-5.438140269"," 6.216003206"," 2.079143491"," 2.831632816"," 3.848679931"," 0.063564556"," 0.001701673"," 0.342995506","-0.167703351"
"1674637313_87468"," 0.031677861","-0.981189719","-6.780786358"," 6.217232932"," 2.079122794"," 1.586152030"," 3.074188114"," 0.068101253"," 0.006923478"," 0.342945094","-0.167550087"
"1706315437_23838"," 0.031676998","-2.236640501","-5.439035228"," 6.216537733"," 2.079196771"," 2.860107956"," 3.852630808"," 0.065536905"," 0.002166323"," 0.342951817","-0.167621576"
"1706331193_98604"," 0.03160591","-2.82441292","-4.81761947"," 6.21639578"," 2.07920128"," 3.23193594"," 3.88962328"," 0.06287946"," 0.00128506"," 0.34295315","-0.16763549"
"1706425611_47518"," 0.031604770","-2.527164252","-5.162718046"," 6.216441146"," 2.079170312"," 3.097778235"," 3.882646615"," 0.062928350"," 0.001933895"," 0.342973071","-0.167648888"
"1706463056_49297"," 0.031749822","-1.472863820","-6.308530547"," 6.219239598"," 2.079242786"," 2.228599381"," 3.575639641"," 0.096040595"," 0.006003638"," 0.342888443","-0.167350899"
"1706557450_34878"," 0.031608783","-1.859177323","-5.866174066"," 6.216328569"," 2.079158749"," 2.564640507"," 3.765792644"," 0.062895752"," 0.001500755"," 0.342948937","-0.167651951"
"1706299680_49581"," 0.031662415","-2.547558764","-5.125531008"," 6.216884981"," 2.079137803"," 3.097542421"," 3.874668815"," 0.071278393"," 0.002157556"," 0.342936653","-0.167584252"
"1674731677_48785"," 0.031603926","-6.943063183","-0.799884301"," 6.216961452"," 2.079124986"," 2.807820675"," 1.240898342"," 0.062723966"," 0.001363489"," 0.342886997","-0.167528018"
"1706589799_64608"," 0.0316029762","-3.0783532098","-4.6115180181"," 6.2165683547"," 2.0793071979"," 3.3947613076"," 3.9160027269"," 0.0626635199"," 0.0007180361"," 0.3429221577","-0.1676071583"
"1674439623_63654"," 0.031610463","-3.318819094","-4.375522064"," 6.216727482"," 2.079188136"," 3.556727315"," 3.853404045"," 0.062929215"," 0.001023574"," 0.342966674","-0.167610567"
"1674807652_68649"," 0.031604091","-3.592704837","-4.089757945"," 6.216814042"," 2.079084998"," 3.647232469"," 3.799848412"," 0.063636491"," 0.001011284"," 0.342954598","-0.167594042"
"1706584718_96569"," 0.031606722","-3.865762559","-3.789413100"," 6.216466212"," 2.079033501"," 3.738309460"," 3.681243823"," 0.063849584"," 0.001786142"," 0.342932250","-0.167626620"
"1674472933_96635"," 0.031601851","-4.008122943","-3.673166725"," 6.216882278"," 2.079265641"," 3.771643981"," 3.682676475"," 0.062740261"," 0.001086867"," 0.342933861","-0.167562973"
"1674364158_94625"," 0.031604175","-3.323171940","-4.335322734"," 6.216411527"," 2.079066634"," 3.506750032"," 3.848614921"," 0.062708242"," 0.001269337"," 0.342931557","-0.167630610"
"1706478322_82753"," 0.031642183","-3.404519724","-4.255849800"," 6.216828634"," 2.079078953"," 3.555253463"," 3.823153799"," 0.077249774"," 0.001982271"," 0.342839897","-0.167587570"
"1706425611_22949"," 0.031609866","-6.171606676","-1.574251743"," 6.216414558"," 2.079155487"," 3.620596071"," 2.316189972"," 0.063835833"," 0.002073148"," 0.342945480","-0.167641038"
"1674386008_97938"," 0.031732542","-3.200149877","-4.465012960"," 6.216812466"," 2.079054494"," 3.481619024"," 3.842297578"," 0.065293312"," 0.002386103"," 0.342973855","-0.167612410"
"1706531632_58348"," 0.031757104","-1.566028056","-6.231416153"," 6.217885323"," 2.079282179"," 2.324277614"," 3.645435217"," 0.080801014"," 0.001936632"," 0.342981694","-0.167503510"
"1706562716_29695"," 0.031648140","-3.081254237","-4.618920121"," 6.217098787"," 2.079134998"," 3.428875269"," 3.904369922"," 0.069834940"," 0.001678548"," 0.342970470","-0.167582085"
"1706536633_28573"," 0.031713756","-2.946354640","-4.757942342"," 6.218519191"," 2.079093357"," 3.384417445"," 3.889291050"," 0.085686358"," 0.002631432"," 0.343013263","-0.167460665"
"1674321588_78123"," 0.031654665","-2.605055795","-5.111133838"," 6.216977605"," 2.079245540"," 3.160379367"," 3.909961303"," 0.066238636"," 0.002188622"," 0.342972452","-0.167565221"
"1674513616_87977"," 0.032093636","-0.969978203","-6.830913988"," 6.221980366"," 2.079161737"," 1.578385512"," 3.111703067"," 0.125086478"," 0.004465718"," 0.342803668","-0.167212339"
"1674669643_25911"," 0.03160713","-4.60823462","-3.02519233"," 6.21620504"," 2.07925538"," 3.83923066"," 3.36982880"," 0.06284795"," 0.00141740"," 0.34295330","-0.16766683"
"1674321592_00733"," 0.031866264","-0.937948156","-6.818725373"," 6.221291512"," 2.079201739"," 1.524008014"," 3.028795291"," 0.135682625"," 0.005202737"," 0.342938689","-0.167311665"
"1706557016_95952"," 0.031608210","-4.256509417","-3.387782654"," 6.216505058"," 2.079180775"," 3.805692423"," 3.541136839"," 0.065720009"," 0.001813515"," 0.342958654","-0.167622403"
"1706494013_08131"," 0.031798861","-3.126708839","-4.601738277"," 6.217118737"," 2.079091549"," 3.479446999"," 3.912888194"," 0.070506840"," 0.002155545"," 0.342988127","-0.167570216"
"1706572596_51801"," 0.031630648","-3.496410400","-4.148541101"," 6.216540625"," 2.079181064"," 3.582680287"," 3.793323058"," 0.067060548"," 0.001666842"," 0.342948169","-0.167622168"
"1674694255_03453"," 0.031608473","-4.770334376","-2.924578029"," 6.217309951"," 2.079091091"," 3.890973262"," 3.355983545"," 0.069564922"," 0.001513745"," 0.342982380","-0.167584676"
"1706472854_18117"," 0.031727507","-3.140658219","-4.551600005"," 6.218499571"," 2.079051326"," 3.483533739"," 3.866955823"," 0.087790658"," 0.001304556"," 0.342911597","-0.167456615"
"1706462594_60838"," 0.031687483","-3.679884861","-4.020026589"," 6.220347574"," 2.079286666"," 3.679250149"," 3.814312824"," 0.101291848"," 0.002696144"," 0.342859640","-0.167285924"
"1674981148_09058"," 0.031616388","-4.129340810","-3.514506608"," 6.216481366"," 2.079018470"," 3.783385307"," 3.592643673"," 0.064654747"," 0.001728952"," 0.342944826","-0.167635278"
"1706444622_73645"," 0.031893871","-4.080031253","-3.602611701"," 6.220173987"," 2.079096043"," 3.802323767"," 3.655032576"," 0.113362044"," 0.002819026"," 0.342987714","-0.167393166"
"1674918685_35203"," 0.031768991","-4.767042292","-2.921962663"," 6.219684370"," 2.079177915"," 3.879134055"," 3.364250209"," 0.111249748"," 0.001300171"," 0.342979517","-0.167445763"
"1674439803_93208"," 0.031955558","-3.775621421","-3.903600373"," 6.226438398"," 2.079291970"," 3.723969798"," 3.766534665"," 0.181164546"," 0.004845581"," 0.342899424","-0.167038262"
"1674348672_35229"," 0.031883394","-4.753133010","-2.926276074"," 6.219782461"," 2.079111742"," 3.871650429"," 3.369738685"," 0.122098773"," 0.002840169"," 0.342997959","-0.167474335"
"1674566470_66582"," 0.032535435","-0.968384919","-6.837251326"," 6.236844368"," 2.079180685"," 1.616764124"," 3.157299602"," 0.253943980"," 0.007376861"," 0.342704768","-0.166524131"
"1674473875_15618"," 0.032203787","-1.564958006","-6.270663029"," 6.228157546"," 2.079188525"," 2.348619687"," 3.704767728"," 0.180371641"," 0.007363674"," 0.342821931","-0.166986192"
"1706575857_81426"," 0.03292927","-6.72892916","-1.08613465"," 6.25241888"," 2.07930732"," 3.32176711"," 1.85909147"," 0.36122922"," 0.00803837"," 0.34296100","-0.16614216"
