"run","a","delta_pop","gamma_pop","km0scale_pop","offset_pop","omega_delta","omega_gamma","omega_km0scale","omega_offset","omega_tBegin","tBegin_pop"
"1674497141_04176"," 0.031629275","-1.153002034","-6.711508105"," 6.223885305"," 2.079379270"," 1.749740844"," 3.226857998"," 0.121658025"," 0.006095875"," 0.330965995","-0.171604474"
"1674559311_25231"," 0.031689755","-0.875095901","-6.932381158"," 6.227967359"," 2.079757309"," 1.258025279"," 2.860226875"," 0.155481146"," 0.007119671"," 0.331190873","-0.171092410"
"1674553124_89955"," 0.031615167","-1.525449271","-6.257612894"," 6.222171897"," 2.079506228"," 2.143121674"," 3.552861697"," 0.118621432"," 0.005154815"," 0.330854689","-0.171597597"
"1674550954_22292"," 0.031588611","-2.022111848","-5.796590413"," 6.219792135"," 2.079767606"," 2.660356496"," 3.807745359"," 0.066434953"," 0.004252183"," 0.330864155","-0.171673166"
"1674527348_48316"," 0.031573164","-2.132245630","-5.633594544"," 6.217789089"," 2.078927037"," 2.642786535"," 3.893093182"," 0.062773694"," 0.003715324"," 0.330938826","-0.171929258"
"1674504125_85932"," 0.031569011","-2.120852423","-5.625295559"," 6.216818894"," 2.079855781"," 2.711671716"," 3.794294538"," 0.063295559"," 0.005320516"," 0.330972988","-0.172083223"
"1674538684_3497"," 0.031812520","-0.841211081","-6.968768015"," 6.232528924"," 2.079803654"," 1.252944863"," 2.784444171"," 0.153777710"," 0.008522104"," 0.330292417","-0.170532674"
"1674519714_45454"," 0.03173117","-2.33032460","-5.49479290"," 6.21774576"," 2.07981766"," 2.93350272"," 3.86512171"," 0.06500864"," 0.01167252"," 0.33094238","-0.17192254"
"1674501162_88077"," 0.031568502","-2.426870848","-5.236352060"," 6.218245968"," 2.079005960"," 2.954790205"," 3.726974537"," 0.064185326"," 0.004700446"," 0.330846541","-0.171862852"
"1674502968_64506"," 0.031590538","-1.087205080","-6.701321216"," 6.218418458"," 2.079742651"," 1.628048069"," 3.113120338"," 0.063052261"," 0.003305003"," 0.330785324","-0.171787507"
"1674497214_60516"," 0.031573719","-2.534183386","-5.133399515"," 6.218170119"," 2.079207125"," 2.994810115"," 3.787907560"," 0.064044221"," 0.002434438"," 0.330951859","-0.171863633"
"1674546906_04294"," 0.031598008","-2.230823276","-5.469378082"," 6.221212702"," 2.079777116"," 2.809679818"," 3.758972600"," 0.090379478"," 0.006658507"," 0.330454292","-0.171418834"
"1674511587_81307"," 0.031571192","-2.753107064","-4.917399158"," 6.219033589"," 2.079014385"," 3.173419803"," 3.759847165"," 0.064514254"," 0.004852635"," 0.331018567","-0.171866157"
"1674502095_96592"," 0.031560730","-2.563882327","-5.168021109"," 6.218493491"," 2.079482055"," 3.053525515"," 3.825083012"," 0.063479602"," 0.003092155"," 0.330832386","-0.171686238"
"1674530420_46026"," 0.03157112","-2.61045405","-5.00580149"," 6.21774803"," 2.07953277"," 3.04739250"," 3.74446036"," 0.06334881"," 0.00531168"," 0.33089195","-0.17189411"
"1674540571_11412"," 0.031600325","-2.975378166","-4.738744915"," 6.220159605"," 2.079982166"," 3.279348980"," 3.851683819"," 0.078926312"," 0.006943025"," 0.330784932","-0.171583029"
"1674555672_90115"," 0.03161816","-1.28364893","-6.48091151"," 6.21763374"," 2.07934724"," 1.86782447"," 3.31165491"," 0.06319736"," 0.00420134"," 0.33091930","-0.17194956"
"1674499289_81742"," 0.031573221","-2.769196433","-4.928952155"," 6.217882826"," 2.079828879"," 3.075721620"," 3.913472752"," 0.062559144"," 0.003191224"," 0.331155187","-0.171996157"
"1674563626_87214"," 0.03157170","-2.71288744","-4.87164349"," 6.21730287"," 2.07932024"," 3.08742053"," 3.70124741"," 0.06354724"," 0.00337555"," 0.33107899","-0.17201507"
"1674506992_63224"," 0.031582311","-2.751741133","-4.795006962"," 6.217177296"," 2.079466840"," 3.109290404"," 3.676688606"," 0.063137285"," 0.003740574"," 0.330876321","-0.171973106"
"1674509546_92437"," 0.031723947","-2.650553150","-5.014272400"," 6.220891190"," 2.079655179"," 3.076075832"," 3.792859897"," 0.086888703"," 0.004791225"," 0.331057201","-0.171668151"
"1674561832_70492"," 0.031570826","-2.970756619","-4.760761784"," 6.218361739"," 2.079559300"," 3.141458272"," 3.996332769"," 0.062767412"," 0.004964949"," 0.330862097","-0.171779364"
"1674546162_34963"," 0.031568205","-3.136590995","-4.524826392"," 6.218422165"," 2.079251837"," 3.335764924"," 3.766733218"," 0.063965492"," 0.004381401"," 0.330912265","-0.171799315"
"1674516258_03131"," 0.031681343","-1.186580721","-6.638455078"," 6.233148936"," 2.078945658"," 1.827303697"," 3.251132527"," 0.236556670"," 0.004642752"," 0.330313556","-0.171143359"
"1674572789_34406"," 0.031784967","-6.645737910","-1.245451567"," 6.218295655"," 2.079383239"," 3.408185566"," 1.813945249"," 0.064540880"," 0.004126671"," 0.330965657","-0.171830666"
"1674496334_01023"," 0.031574842","-6.634559156","-1.197699310"," 6.218059614"," 2.079642896"," 3.275381140"," 1.774216586"," 0.063283670"," 0.004425715"," 0.331100044","-0.171901577"
"1674495498_15602"," 0.031564528","-6.702811826","-1.224461932"," 6.218225718"," 2.079557822"," 3.359757719"," 1.838219451"," 0.063394187"," 0.004772453"," 0.331142912","-0.171917887"
"1674506254_41252"," 0.031577121","-2.399525802","-5.344982386"," 6.217933952"," 2.079587178"," 2.848362160"," 3.914140723"," 0.062790165"," 0.004757748"," 0.330898879","-0.171823178"
"1674541706_02128"," 0.031572465","-6.263033763","-1.559990140"," 6.218144743"," 2.079229704"," 3.565273077"," 2.232942120"," 0.063327143"," 0.003692392"," 0.331067855","-0.171886152"
"1674493695_23343"," 0.031573196","-4.005153389","-3.679753612"," 6.218835713"," 2.079972268"," 3.669453229"," 3.633808658"," 0.064578953"," 0.004298176"," 0.330954811","-0.171788256"
"1674568530_65096"," 0.031566659","-5.482431120","-2.319523301"," 6.218153098"," 2.079429001"," 3.957434683"," 2.790618730"," 0.063289677"," 0.003952092"," 0.331079535","-0.171965788"
"1674484870_99951"," 0.031575417","-4.208633664","-3.407304755"," 6.218222429"," 2.079533630"," 3.703536274"," 3.451308489"," 0.063608175"," 0.004320198"," 0.330809271","-0.171857467"
"1674517706_51489"," 0.031562899","-5.127965775","-2.610500239"," 6.218284985"," 2.079329836"," 3.896874700"," 3.020463863"," 0.063070087"," 0.004723983"," 0.331001348","-0.171876984"
"1674557637_38754"," 0.031582265","-5.023098563","-2.632824549"," 6.217596919"," 2.079527419"," 3.853844248"," 2.996106378"," 0.063170128"," 0.003728929"," 0.331028909","-0.171997051"
"1674562582_76911"," 0.03157623","-1.52460034","-6.26933375"," 6.21790314"," 2.07948199"," 2.16331026"," 3.51667724"," 0.06308011"," 0.00495501"," 0.33094428","-0.17196211"
"1674526450_6201"," 0.031576656","-5.985404650","-1.888244210"," 6.218883678"," 2.079270995"," 3.815988890"," 2.539846599"," 0.063837918"," 0.003708243"," 0.331050637","-0.171807494"
"1674539894_59162"," 0.031572055","-6.111682301","-1.685758596"," 6.217714687"," 2.079977451"," 3.684994444"," 2.306169182"," 0.062870638"," 0.003127067"," 0.331030394","-0.171909544"
"1674500078_42039"," 0.031571415","-5.864446322","-1.939993538"," 6.218515282"," 2.079392807"," 3.753524552"," 2.585946135"," 0.064695204"," 0.003758323"," 0.331025309","-0.171866318"
"1674502182_44864"," 0.031573570","-5.178373069","-2.469160959"," 6.217740964"," 2.079533832"," 3.718721270"," 2.994364007"," 0.063902427"," 0.004072305"," 0.331037651","-0.171936790"
"1674575524_67688"," 0.031564347","-5.184298379","-2.508115322"," 6.217791984"," 2.079198412"," 3.823495534"," 2.957700806"," 0.063325252"," 0.004824918"," 0.331070714","-0.171938109"
"1674536603_47268"," 0.031575123","-5.355436241","-2.401090151"," 6.218555976"," 2.079574606"," 3.871315474"," 2.930771279"," 0.066096777"," 0.004619305"," 0.331105380","-0.171860540"
"1674579485_19704"," 0.031571193","-6.039216475","-1.728569955"," 6.218478760"," 2.079771009"," 3.617777945"," 2.389903240"," 0.063356077"," 0.004150785"," 0.331261212","-0.171904604"
"1674558556_48218"," 0.031568219","-4.536138205","-3.118290351"," 6.218204562"," 2.079607510"," 3.785244881"," 3.332342122"," 0.063280975"," 0.004142721"," 0.330950783","-0.171927879"
"1674515572_07221"," 0.031579025","-5.100473921","-2.539930542"," 6.218321854"," 2.079230714"," 3.748024808"," 3.035651875"," 0.063359687"," 0.004393959"," 0.331035064","-0.171891101"
"1674565846_16274"," 0.031567234","-5.590069326","-2.147343428"," 6.217757463"," 2.079255723"," 3.825037652"," 2.687540677"," 0.063163436"," 0.004384536"," 0.331110976","-0.171971824"
"1674518633_15397"," 0.031593347","-6.701016567","-1.263288449"," 6.219041825"," 2.079621711"," 3.449558359"," 1.878778545"," 0.070403376"," 0.006618348"," 0.331028960","-0.171756216"
"1674498245_46329"," 0.031577373","-1.746560536","-6.004745526"," 6.217872581"," 2.079519890"," 2.422682838"," 3.587115220"," 0.063699963"," 0.003922851"," 0.330956056","-0.171882894"
"1674490061_54081"," 0.03211861","-1.05558537","-6.78802742"," 6.22654917"," 2.07984681"," 1.58813571"," 3.13580738"," 0.16947705"," 0.01201899"," 0.33096784","-0.17142766"
"1674493603_94205"," 0.032024718","-1.745366867","-6.133726911"," 6.229005271"," 2.079423868"," 2.449366401"," 3.742806940"," 0.171112835"," 0.004220098"," 0.330760662","-0.171269829"
"1674570685_34279"," 0.031573340","-5.798964132","-2.000465264"," 6.217927218"," 2.079429075"," 3.809914970"," 2.630821608"," 0.063403826"," 0.005321967"," 0.331195484","-0.172043896"
"1674504829_80942"," 0.031604998","-5.305694539","-2.524390379"," 6.220118806"," 2.079685719"," 3.909658558"," 3.069874234"," 0.073738656"," 0.007881969"," 0.330987534","-0.171601306"
"1674532888_73192"," 0.031783174","-1.744267854","-6.155362212"," 6.228986749"," 2.079476850"," 2.350018566"," 3.815486892"," 0.191049696"," 0.005420113"," 0.331143439","-0.171594483"
"1674494536_06503"," 0.031706940","-2.883222362","-4.833515909"," 6.222850683"," 2.079142852"," 3.227938186"," 3.858057652"," 0.112852660"," 0.004221463"," 0.331201555","-0.171516004"
"1674545195_27573"," 0.031576427","-5.741291517","-2.052268953"," 6.218790086"," 2.079487831"," 3.862395408"," 2.614726972"," 0.066348634"," 0.004120858"," 0.330994878","-0.171843059"
"1674491332_81665"," 0.031562001","-4.865387866","-2.823357722"," 6.218458734"," 2.079650014"," 3.793672809"," 3.211889561"," 0.063993706"," 0.004209256"," 0.330976525","-0.171860150"
"1674503345_06224"," 0.032081080","-0.870934280","-7.083682522"," 6.235941590"," 2.079662974"," 1.327410079"," 3.018307860"," 0.217351606"," 0.006873632"," 0.330031089","-0.170568697"
"1674566870_88341"," 0.031693377","-3.856822154","-3.947850044"," 6.223618860"," 2.078775759"," 3.673393357"," 3.825204443"," 0.124303265"," 0.003286663"," 0.331208487","-0.171529716"
"1674573463_50592"," 0.03171615","-4.34947536","-3.45800932"," 6.22501956"," 2.07969716"," 3.94432150"," 3.52215899"," 0.13345821"," 0.01272917"," 0.33053479","-0.17115725"
"1674576532_91388"," 0.03175540","-6.66225450","-1.21069535"," 6.22256720"," 2.07947847"," 3.29796975"," 1.82275666"," 0.10487014"," 0.00538578"," 0.33109561","-0.17168227"
"1674544091_47111"," 0.031921161","-3.484430364","-4.181654332"," 6.224868301"," 2.079728466"," 3.598133794"," 3.628125644"," 0.134105147"," 0.004663952"," 0.331334634","-0.171584817"
"1674529368_01142"," 0.032112443","-1.478115963","-6.379174829"," 6.245384185"," 2.079412691"," 2.239212579"," 3.555418929"," 0.349512239"," 0.003743348"," 0.331772874","-0.170940951"
"1674582293_44524"," 0.031841123","-6.433615585","-1.470596529"," 6.225858053"," 2.079100189"," 3.566765249"," 2.159355652"," 0.160765424"," 0.004649298"," 0.331275219","-0.171697607"
"1674556605_11136"," 0.031904336","-5.320751800","-2.420637900"," 6.223135005"," 2.079596407"," 3.870155394"," 2.927629287"," 0.112871472"," 0.007064993"," 0.331461725","-0.171574671"
"1674551856_97299"," 0.031563048","-2.879889500","-4.853574539"," 6.218336343"," 2.080219644"," 3.215975800"," 3.883805152"," 0.063641934"," 0.003825127"," 0.331037007","-0.171857583"
"1674554131_14047"," 0.03272674","-1.18626822","-6.72806701"," 6.25648518"," 2.07894360"," 1.91165148"," 3.39208111"," 0.40609325"," 0.01092071"," 0.33214326","-0.17100891"
"1674542891_21034"," 0.031586981","-1.106768992","-6.758822093"," 6.219538058"," 2.079473936"," 1.668744980"," 3.190591724"," 0.075259222"," 0.006485457"," 0.330813364","-0.171672344"
"1674512566_04896"," 0.032012238","-5.160076218","-2.589466197"," 6.229261603"," 2.079602753"," 3.852898690"," 3.117344324"," 0.155491868"," 0.008882275"," 0.331337686","-0.171343076"
"1674537505_39316"," 0.031660945","-4.628669796","-3.125770034"," 6.220510652"," 2.079458070"," 3.884542792"," 3.360724336"," 0.082566730"," 0.005977841"," 0.330894272","-0.171528623"
"1674581506_71091"," 0.032376274","-4.462446860","-3.307750348"," 6.233013310"," 2.079254473"," 3.860578198"," 3.531571694"," 0.217658323"," 0.003620396"," 0.331612882","-0.171613156"
"1674569487_0755"," 0.03200342","-2.13421238","-5.65355519"," 6.24194215"," 2.07997625"," 2.78913838"," 3.84536712"," 0.24266737"," 0.00878928"," 0.33004477","-0.17005790"
"1674498517_33534"," 0.032467888","-3.488745968","-4.271261453"," 6.225913776"," 2.078523079"," 3.607414234"," 3.788484415"," 0.177826205"," 0.003174046"," 0.331386797","-0.171592710"
"1674508032_84322"," 0.032349933","-5.607687808","-2.279205165"," 6.238695970"," 2.079601384"," 3.911861773"," 2.986033224"," 0.254917940"," 0.003916677"," 0.331973694","-0.171378765"
"1674549635_69596"," 0.033017560","-0.851088267","-6.975239994"," 6.242510207"," 2.079841139"," 1.291425526"," 2.876569198"," 0.287299367"," 0.009840828"," 0.331305496","-0.170539501"
"1674578117_17773"," 0.033149071","-2.933586982","-4.886855942"," 6.286421679"," 2.079425411"," 3.401297277"," 4.090674137"," 0.483387992"," 0.007177607"," 0.332281370","-0.169529805"
"1674485528_82355"," 0.031766695","-2.024297377","-5.759784538"," 6.231291827"," 2.079625643"," 2.671514544"," 3.774837955"," 0.193723934"," 0.004030482"," 0.331447278","-0.171316290"
"1674564388_53952"," 0.033606585","-0.838828286","-7.020794332"," 6.252357461"," 2.079947191"," 1.325076408"," 2.894001816"," 0.333781343"," 0.008525731"," 0.331575577","-0.169885499"
"1674495410_96398"," 0.032546865","-4.223611236","-3.646086594"," 6.262115368"," 2.079821721"," 3.985391815"," 3.746553881"," 0.379807886"," 0.007795677"," 0.331138243","-0.170263603"
"1674486889_02231"," 0.031881455","-6.221148912","-1.727853905"," 6.231580527"," 2.079878296"," 3.776844715"," 2.453995217"," 0.175649570"," 0.007535876"," 0.330617736","-0.170703734"
"1674548040_59253"," 0.03376539","-5.29817709","-2.51649686"," 6.25517136"," 2.07999183"," 3.88330751"," 3.19074063"," 0.35297001"," 0.01027664"," 0.33142316","-0.16992095"
"1674531459_81187"," 0.03455644","-1.00457435","-6.76959878"," 6.27033568"," 2.07909795"," 1.70016366"," 3.08380540"," 0.42734912"," 0.01632534"," 0.33262793","-0.16990152"
"1674520937_24318"," 0.03511476","-1.40915779","-6.44462945"," 6.27095507"," 2.07852365"," 2.22923654"," 3.53743789"," 0.43975478"," 0.01360294"," 0.33168285","-0.16979005"
"1674501111_83863"," 0.03434561","-6.72912875","-1.24362139"," 6.29050296"," 2.07915483"," 3.59308155"," 2.03886313"," 0.52071391"," 0.01261999"," 0.33286141","-0.16936719"
"1674571439_97911"," 0.03368587","-3.12672832","-4.69833369"," 6.29131330"," 2.08024283"," 3.48510361"," 4.11635351"," 0.49082634"," 0.01173976"," 0.33237023","-0.16835457"
"1674560634_38733"," 0.032234475","-6.389328536","-1.513827531"," 6.225798184"," 2.079262533"," 3.580639012"," 2.239839703"," 0.149193675"," 0.003833297"," 0.331532286","-0.171613087"
